code,exchange,type,country,currency,isin,name
IDVA,AS,ETF,Netherlands,EUR,DE000A2QP380,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR Acc
MVEA,AS,ETF,Netherlands,USD,IE00BKVL7331,iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF USD (Acc)
ECAR,AS,ETF,Netherlands,EUR,IE00BGL86Z12,iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc) EUR
EMEE,AS,ETF,Netherlands,USD,IE000OVF8Q66,iShares Emerging Markets Equity Enhanced Active UCITS ETF USD (Acc)
METL,AS,ETF,Netherlands,USD,IE000ROSD5J6,iShares Essential Metals Producers UCITS ETF USD Acc
IDVY,AS,ETF,Netherlands,EUR,IE00B0M62S72,iShares Euro Dividend UCITS ETF EUR (Dist)
IBGS,AS,ETF,Netherlands,EUR,IE00B14X4Q57,iShares Euro Government Bond 1-3yr UCITS ETF (Dist)
IBGM,AS,ETF,Netherlands,EUR,IE00B1FZS806,iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist)
DFEU,AS,ETF,Netherlands,EUR,IE000IAXNM41,iShares Europe Defence UCITS ETF EUR (Acc)
IPRP,AS,ETF,Netherlands,EUR,IE00B0M63284,iShares European Property Yield UCITS ETF EUR (Dist)
IFRB,AS,ETF,Netherlands,EUR,IE00B7LGZ558,iShares France Govt Bond UCITS ETF EUR (Dist) EUR
IFRD,AS,ETF,Netherlands,USD,IE000A9QV382,iShares France Govt Bond UCITS ETF USD Hedged (Dist)
AGGE,AS,ETF,Netherlands,USD,IE000U6US1Q0,iShares Global Aggregate Bond ESG UCITS ETF USD Distribution
AGGD,AS,ETF,Netherlands,USD,IE000HQY8R78,iShares Global Aggregate Bond ESG UCITS ETF USD Hedged Accumulation
INRA,AS,ETF,Netherlands,USD,IE000U58J0M1,iShares Global Clean Energy UCITS ETF USD (Acc)
IGLE,AS,ETF,Netherlands,EUR,IE00BKT6FT27,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist)
SGLU,AS,ETF,Netherlands,USD,IE00BK7Y2P34,iShares Global Govt Bond UCITS ETF USD Hedged (Acc)
INFR,AS,ETF,Netherlands,EUR,IE00B1FZS467,iShares Global Infrastructure UCITS ETF USD (Dist)
WOOE,AS,ETF,Netherlands,EUR,IE0003ZXNJY5,iShares Global Timber & Forestry UCITS ETF USD Acc EUR
H2OA,AS,ETF,Netherlands,EUR,IE000CFH1JX2,iShares Global Water UCITS ETF USD Acc EUR
HEAL,AS,ETF,Netherlands,EUR,IE00BYZK4776,iShares Healthcare Innovation UCITS ETF USD (Acc)
TPSA,AS,ETF,Netherlands,EUR,IE00B1FZSC47,iShares II Public Limited Company - iShares $ TIPS UCITS ETF
BTMA,AS,ETF,Netherlands,EUR,IE00B1FZS798,iShares II Public Limited Company - iShares $ Treasury Bond 7-10yr UCITS ETF
EUEA,AS,ETF,Netherlands,EUR,IE0008471009,iShares II Public Limited Company - iShares EURO STOXX 50 UCITS ETF
DHYD,AS,ETF,Netherlands,USD,IE00BKF09C98,iShares II plc $ HY Corp Bd ESG UCITS ETF USD (Dist)
EHYD,AS,ETF,Netherlands,EUR,IE00BKLC5874,iShares II plc € HY Corp Bd ESG UCITS ETF EUR (Dist)
IEGA,AS,ETF,Netherlands,EUR,IE00B4WXJJ64,iShares III Public Limited Company - iShares Core Euro Government Bond UCITS ETF
ICOV,AS,ETF,Netherlands,EUR,IE00B3B8Q275,iShares III Public Limited Company - iShares Euro Covered Bond UCITS ETF
IEGE,AS,ETF,Netherlands,EUR,IE00B3FH7618,iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF
IEGZ,AS,ETF,Netherlands,EUR,IE00B4WXJH41,iShares III Public Limited Company - iShares Euro Government Bond 10-15yr UCITS ETF
IEGY,AS,ETF,Netherlands,EUR,IE00B4WXJG34,iShares III Public Limited Company - iShares Euro Government Bond 5-7yr UCITS ETF
CYBE,AS,ETF,Netherlands,EUR,IE00BKT6VQ12,iShares IV PLC - iShares China Cny Bond UCITS ETF
SDHY,AS,ETF,Netherlands,EUR,IE00BCRY6003,iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF
INGB,AS,ETF,Netherlands,USD,IE0004L9EID2,iShares India INR Govt Bond UCITS ETF USD (Dist)
IGAE,AS,ETF,Netherlands,USD,IE00BKPT2T41,iShares J.P. Morgan $ EM Investment Grade Bond UCITS ETF
IPRA,AS,ETF,Netherlands,USD,IE000D8FCSD8,iShares Listed Private Equity UCITS ETF USD (Acc)
LITM,AS,ETF,Netherlands,USD,IE000WDG5795,iShares Lithium & Battery Producers UCITS ETF USD Acc
