isin,code,exchange,type,country,currency,name,selection_reason
LU2468423459,XZEB,XETRA,ETF,Germany,EUR,Xtrackers II ESG Eurozone Government Bond UCITS ETF,preferred_xetra
LU2469335298,MPXG,LSE,ETF,UK,GBX,Amundi Index MSCI Pacific Ex Japan SRI PAB - UCITS ETF DR - GBP (D),fallback_exchange
LU2469335371,AMEG,LSE,ETF,UK,GBX,Amundi Index Solutions - Amundi Index MSCI Emerging Markets SRI PAB UCITS ETF DR GBP D,fallback_exchange
LU2469335538,AHYA,XETRA,ETF,Germany,USD,Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR USD Hedged,preferred_xetra
LU2469335611,AHYB,XETRA,ETF,Germany,USD,Amundi Index Solutions - Amundi Global AGG SRI UCITS ETF DR HEDGED USD,preferred_xetra
LU2469465822,XCNA,XETRA,ETF,Germany,EUR,db x-trackers MSCI China A ESG Screened Swap UCITS ETF,preferred_xetra
LU2470620761,AHYF,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Global AGG SRI 1-5Y UCITS ETF DR USD EUR,preferred_xetra
LU2470620845,AHYH,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Global AGG SRI 1-5Y UCITS ETF DR - hedged EUR,preferred_xetra
LU2504532131,XTIP,XETRA,ETF,Germany,EUR,Xtrackers II TIPS US Inflation-Linked Bond UCITS ETF 1C EUR,preferred_xetra
LU2504532487,XGEZ,XETRA,ETF,Germany,EUR,Xtrackers II Eurozone Government Green Bond UCITS ETF 1D EUR,preferred_xetra
LU2504537445,XEZB,XETRA,ETF,Germany,EUR,Xtrackers II Eurozone Government Bond ESG Tilted UCITS ETF 1D,preferred_xetra
LU2523865728,X7GB,LSE,ETF,UK,GBP,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1D Hedged,fallback_exchange
LU2523865991,X71U,LSE,ETF,UK,USD,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 2C Hedged,fallback_exchange
LU2523866023,XGLB,LSE,ETF,UK,GBP,Xtrackers II Eurozone Government Bond UCITS ETF 2D GBP Hedged,fallback_exchange
LU2523866296,XBGB,LSE,ETF,UK,GBP,Xtrackers II Germany Government Bond UCITS ETF 2D Hedged,fallback_exchange
LU2523866379,XBUS,LSE,ETF,UK,USD,Xtrackers II Germany Government Bond UCITS ETF 2C Hedged,fallback_exchange
LU2533810276,BJLC,XETRA,ETF,Germany,USD,BNP Paribas Easy ECPI Circular Economy Leaders UCITS ETF USD Cap USD,preferred_xetra
LU2533810862,GEU3C,PA,ETF,France,EUR,BNP Paribas Easy JPM ESG EMU Government Bond IG 1-3Y UCITS ETF Capitalisation,fallback_exchange
LU2533811910,SRIUD,PA,ETF,France,EUR,BNP Paribas Easy â¬ Corp Bond SRI Fossil Free Ultrashort Duration UCITS ETF Distribution,fallback_exchange
LU2533812058,SRIUC,PA,ETF,France,EUR,BNP Paribas Easy â¬ Corp Bond SRI Fossil Free Ultrashort Duration UCITS ETF Capitalisation,fallback_exchange
LU2533813023,ASRZ,XETRA,ETF,Germany,USD,BNP Paribas Easy ECPI Global ESG Hydrogen Economy UCITS ETF ÙSD Cap USD,preferred_xetra
LU2533813296,ASR1,XETRA,ETF,Germany,USD,BNP PARIBAS EASY - ECPI Global ESG Blue Economy UCITS ETF USD Capitalisation USD,preferred_xetra
LU2552296563,XY2D,XETRA,ETF,Germany,EUR,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF 2D,preferred_xetra
LU2555926372,5OGU,PA,ETF,France,USD,Ossiam Lux - Ossiam Shiller Barclays Cape Global Sector Value Trust Ucits ETF,fallback_exchange
LU2572256662,AHYI,XETRA,ETF,Germany,EUR,Amundi PEA Dow Jones Industrial Average UCITS ETF,preferred_xetra
LU2572256746,C024,F,ETF,Germany,EUR,Lyxor FTSE China A50 UCITS ETF,fallback_exchange
LU2572257124,AHYQ,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI World III UCITS ETF USD EUR,preferred_xetra
